"","remoteness","state","value","year","measure"
"232","Inner and Outer Regional","New South Wales","17082","2015","Deaths_no."
"233","Inner and Outer Regional","New South Wales","4.2","2015","Infant mortality rate_rate"
"234","Inner and Outer Regional","New South Wales","6","2015","Standardised death rate_rate"
"235","Inner and Outer Regional","New South Wales","81.2","2015","Median age at death_years"
"236","Inner and Outer Regional","New South Wales","1870573","2016","Estimated Resident Population_persons"
"237","Inner and Outer Regional","New South Wales","17696","2016","Deaths_no."
"238","Inner and Outer Regional","New South Wales","3.8","2016","Infant mortality rate_rate"
"239","Inner and Outer Regional","New South Wales","6.1","2016","Standardised death rate_rate"
"240","Inner and Outer Regional","New South Wales","81.3","2016","Median age at death_years"
"241","Inner and Outer Regional","New South Wales","1888431","2017","Estimated Resident Population_persons"
"242","Inner and Outer Regional","New South Wales","17062","2017","Deaths_no."
"243","Inner and Outer Regional","New South Wales","3.5","2017","Infant mortality rate_rate"
"244","Inner and Outer Regional","New South Wales","6","2017","Standardised death rate_rate"
"245","Inner and Outer Regional","New South Wales","81.400000000000006","2017","Median age at death_years"
"246","Inner and Outer Regional","New South Wales","1906960","2018","Estimated Resident Population_persons"
"247","Inner and Outer Regional","New South Wales","17268","2018","Deaths_no."
"248","Inner and Outer Regional","New South Wales","3.4","2018","Infant mortality rate_rate"
"249","Inner and Outer Regional","New South Wales","5.9","2018","Standardised death rate_rate"
"250","Inner and Outer Regional","New South Wales","81.400000000000006","2018","Median age at death_years"
"251","Inner and Outer Regional","New South Wales","1923449","2019","Estimated Resident Population_persons"
"252","Inner and Outer Regional","New South Wales","18260","2019","Deaths_no."
"253","Inner and Outer Regional","New South Wales","3.4","2019","Infant mortality rate_rate"
"254","Inner and Outer Regional","New South Wales","5.9","2019","Standardised death rate_rate"
"255","Inner and Outer Regional","New South Wales","81.400000000000006","2019","Median age at death_years"
"256","Inner and Outer Regional","New South Wales","1938743","2020","Estimated Resident Population_persons"
"257","Inner and Outer Regional","New South Wales","16978","2020","Deaths_no."
"258","Inner and Outer Regional","New South Wales","3.2","2020","Infant mortality rate_rate"
"259","Inner and Outer Regional","New South Wales","5.7","2020","Standardised death rate_rate"
"260","Inner and Outer Regional","New South Wales","81.2","2020","Median age at death_years"
"261","Inner and Outer Regional","New South Wales","1950730","2021","Estimated Resident Population_persons"
"262","Inner and Outer Regional","New South Wales","18296","2021","Deaths_no."
"263","Inner and Outer Regional","New South Wales","3.3","2021","Infant mortality rate_rate"
"264","Inner and Outer Regional","New South Wales","5.7","2021","Standardised death rate_rate"
"265","Inner and Outer Regional","New South Wales","81.3","2021","Median age at death_years"
"266","Inner and Outer Regional","New South Wales","1967003","2022","Estimated Resident Population_persons"
"267","Inner and Outer Regional","New South Wales","20031","2022","Deaths_no."
"268","Inner and Outer Regional","New South Wales","3.1","2022","Infant mortality rate_rate"
"269","Inner and Outer Regional","New South Wales","5.7","2022","Standardised death rate_rate"
"270","Inner and Outer Regional","New South Wales","81.5","2022","Median age at death_years"
"271","Inner and Outer Regional","New South Wales","1983929","2023","Estimated Resident Population_persons"
"272","Inner and Outer Regional","New South Wales","19449","2023","Deaths_no."
"273","Inner and Outer Regional","New South Wales","3.1","2023","Infant mortality rate_rate"
"274","Inner and Outer Regional","New South Wales","5.8","2023","Standardised death rate_rate"
"275","Inner and Outer Regional","New South Wales","81.599999999999994","2023","Median age at death_years"
"276","Inner and Outer Regional","New South Wales","2002345","2024","Estimated Resident Population_persons"
"277","Inner and Outer Regional","New South Wales","19499","2024","Deaths_no."
"278","Inner and Outer Regional","New South Wales","2.9","2024","Infant mortality rate_rate"
"279","Inner and Outer Regional","New South Wales","5.8","2024","Standardised death rate_rate"
"280","Inner and Outer Regional","New South Wales","81.7","2024","Median age at death_years"
"281","Remote","New South Wales","30280","2011","Estimated Resident Population_persons"
"282","Remote","New South Wales","230","2011","Deaths_no."
"283","Remote","New South Wales","np","2011","Infant mortality rate_rate"
"284","Remote","New South Wales","np","2011","Standardised death rate_rate"
"285","Remote","New South Wales","np","2011","Median age at death_years"
"286","Remote","New South Wales","29974","2012","Estimated Resident Population_persons"
"287","Remote","New South Wales","243","2012","Deaths_no."
"288","Remote","New South Wales","np","2012","Infant mortality rate_rate"
"289","Remote","New South Wales","np","2012","Standardised death rate_rate"
"290","Remote","New South Wales","np","2012","Median age at death_years"
"291","Remote","New South Wales","29788","2013","Estimated Resident Population_persons"
"292","Remote","New South Wales","244","2013","Deaths_no."
"293","Remote","New South Wales","np","2013","Infant mortality rate_rate"
"294","Remote","New South Wales","6.9","2013","Standardised death rate_rate"
"295","Remote","New South Wales","76.7","2013","Median age at death_years"
"296","Remote","New South Wales","29496","2014","Estimated Resident Population_persons"
"297","Remote","New South Wales","273","2014","Deaths_no."
"298","Remote","New South Wales","5.7","2014","Infant mortality rate_rate"
"299","Remote","New South Wales","7.2","2014","Standardised death rate_rate"
"300","Remote","New South Wales","77.099999999999994","2014","Median age at death_years"
"301","Remote","New South Wales","29038","2015","Estimated Resident Population_persons"
"302","Remote","New South Wales","229","2015","Deaths_no."
"303","Remote","New South Wales","np","2015","Infant mortality rate_rate"
"304","Remote","New South Wales","7.1","2015","Standardised death rate_rate"
"305","Remote","New South Wales","76.8","2015","Median age at death_years"
"306","Remote","New South Wales","28670","2016","Estimated Resident Population_persons"
"307","Remote","New South Wales","273","2016","Deaths_no."
"308","Remote","New South Wales","np","2016","Infant mortality rate_rate"
"309","Remote","New South Wales","7.4","2016","Standardised death rate_rate"
"310","Remote","New South Wales","77.3","2016","Median age at death_years"
"311","Remote","New South Wales","28378","2017","Estimated Resident Population_persons"
"312","Remote","New South Wales","246","2017","Deaths_no."
"313","Remote","New South Wales","np","2017","Infant mortality rate_rate"
"314","Remote","New South Wales","7","2017","Standardised death rate_rate"
"315","Remote","New South Wales","77.599999999999994","2017","Median age at death_years"
"316","Remote","New South Wales","28076","2018","Estimated Resident Population_persons"
"317","Remote","New South Wales","231","2018","Deaths_no."
"318","Remote","New South Wales","np","2018","Infant mortality rate_rate"
"319","Remote","New South Wales","7","2018","Standardised death rate_rate"
"320","Remote","New South Wales","78.099999999999994","2018","Median age at death_years"
"321","Remote","New South Wales","27657","2019","Estimated Resident Population_persons"
"322","Remote","New South Wales","248","2019","Deaths_no."
"323","Remote","New South Wales","5.3","2019","Infant mortality rate_rate"
"324","Remote","New South Wales","6.7","2019","Standardised death rate_rate"
"325","Remote","New South Wales","78.2","2019","Median age at death_years"
"326","Remote","New South Wales","27202","2020","Estimated Resident Population_persons"
"327","Remote","New South Wales","250","2020","Deaths_no."
"328","Remote","New South Wales","6.2","2020","Infant mortality rate_rate"
"329","Remote","New South Wales","6.8","2020","Standardised death rate_rate"
"330","Remote","New South Wales","77.8","2020","Median age at death_years"
"331","Remote","New South Wales","26778","2021","Estimated Resident Population_persons"
"332","Remote","New South Wales","249","2021","Deaths_no."
"333","Remote","New South Wales","np","2021","Infant mortality rate_rate"
"334","Remote","New South Wales","6.9","2021","Standardised death rate_rate"
"335","Remote","New South Wales","77.599999999999994","2021","Median age at death_years"
"336","Remote","New South Wales","26549","2022","Estimated Resident Population_persons"
"337","Remote","New South Wales","252","2022","Deaths_no."
"338","Remote","New South Wales","np","2022","Infant mortality rate_rate"
"339","Remote","New South Wales","6.9","2022","Standardised death rate_rate"
"340","Remote","New South Wales","77","2022","Median age at death_years"
"341","Remote","New South Wales","26576","2023","Estimated Resident Population_persons"
"342","Remote","New South Wales","286","2023","Deaths_no."
"343","Remote","New South Wales","np","2023","Infant mortality rate_rate"
"344","Remote","New South Wales","7.1","2023","Standardised death rate_rate"
"345","Remote","New South Wales","77.599999999999994","2023","Median age at death_years"
"346","Remote","New South Wales","26448","2024","Estimated Resident Population_persons"
"347","Remote","New South Wales","287","2024","Deaths_no."
"348","Remote","New South Wales","np","2024","Infant mortality rate_rate"
"349","Remote","New South Wales","7.3","2024","Standardised death rate_rate"
"350","Remote","New South Wales","77.8","2024","Median age at death_years"
"351","Very Remote","New South Wales","8445","2011","Estimated Resident Population_persons"
"352","Very Remote","New South Wales","59","2011","Deaths_no."
"353","Very Remote","New South Wales","np","2011","Infant mortality rate_rate"
"354","Very Remote","New South Wales","np","2011","Standardised death rate_rate"
"355","Very Remote","New South Wales","np","2011","Median age at death_years"
"356","Very Remote","New South Wales","8308","2012","Estimated Resident Population_persons"
"357","Very Remote","New South Wales","69","2012","Deaths_no."
"358","Very Remote","New South Wales","np","2012","Infant mortality rate_rate"
"359","Very Remote","New South Wales","np","2012","Standardised death rate_rate"
"360","Very Remote","New South Wales","np","2012","Median age at death_years"
"361","Very Remote","New South Wales","8173","2013","Estimated Resident Population_persons"
"362","Very Remote","New South Wales","68","2013","Deaths_no."
"363","Very Remote","New South Wales","np","2013","Infant mortality rate_rate"
"364","Very Remote","New South Wales","8.5","2013","Standardised death rate_rate"
"365","Very Remote","New South Wales","67.8","2013","Median age at death_years"
"366","Very Remote","New South Wales","8051","2014","Estimated Resident Population_persons"
"367","Very Remote","New South Wales","58","2014","Deaths_no."
"368","Very Remote","New South Wales","np","2014","Infant mortality rate_rate"
"369","Very Remote","New South Wales","8.3000000000000007","2014","Standardised death rate_rate"
"370","Very Remote","New South Wales","68.8","2014","Median age at death_years"
"371","Very Remote","New South Wales","7935","2015","Estimated Resident Population_persons"
"372","Very Remote","New South Wales","55","2015","Deaths_no."
"373","Very Remote","New South Wales","np","2015","Infant mortality rate_rate"
"374","Very Remote","New South Wales","7.6","2015","Standardised death rate_rate"
"375","Very Remote","New South Wales","67.2","2015","Median age at death_years"
"376","Very Remote","New South Wales","7794","2016","Estimated Resident Population_persons"
"377","Very Remote","New South Wales","65","2016","Deaths_no."
"378","Very Remote","New South Wales","np","2016","Infant mortality rate_rate"
"379","Very Remote","New South Wales","7.5","2016","Standardised death rate_rate"
"380","Very Remote","New South Wales","69.3","2016","Median age at death_years"
"381","Very Remote","New South Wales","7633","2017","Estimated Resident Population_persons"
"382","Very Remote","New South Wales","62","2017","Deaths_no."
"383","Very Remote","New South Wales","np","2017","Infant mortality rate_rate"
"384","Very Remote","New South Wales","7.7","2017","Standardised death rate_rate"
"385","Very Remote","New South Wales","70","2017","Median age at death_years"
"386","Very Remote","New South Wales","7449","2018","Estimated Resident Population_persons"
"387","Very Remote","New South Wales","76","2018","Deaths_no."
"388","Very Remote","New South Wales","np","2018","Infant mortality rate_rate"
"389","Very Remote","New South Wales","8.6999999999999993","2018","Standardised death rate_rate"
"390","Very Remote","New South Wales","71.099999999999994","2018","Median age at death_years"
"391","Very Remote","New South Wales","7305","2019","Estimated Resident Population_persons"
"392","Very Remote","New South Wales","59","2019","Deaths_no."
"393","Very Remote","New South Wales","np","2019","Infant mortality rate_rate"
"394","Very Remote","New South Wales","8.5","2019","Standardised death rate_rate"
"395","Very Remote","New South Wales","71.5","2019","Median age at death_years"
"396","Very Remote","New South Wales","7130","2020","Estimated Resident Population_persons"
"397","Very Remote","New South Wales","58","2020","Deaths_no."
"398","Very Remote","New South Wales","np","2020","Infant mortality rate_rate"
"399","Very Remote","New South Wales","8.5","2020","Standardised death rate_rate"
"400","Very Remote","New South Wales","70.8","2020","Median age at death_years"
"401","Very Remote","New South Wales","6982","2021","Estimated Resident Population_persons"
"402","Very Remote","New South Wales","62","2021","Deaths_no."
"403","Very Remote","New South Wales","np","2021","Infant mortality rate_rate"
"404","Very Remote","New South Wales","8.1","2021","Standardised death rate_rate"
"405","Very Remote","New South Wales","71.400000000000006","2021","Median age at death_years"
"406","Very Remote","New South Wales","6851","2022","Estimated Resident Population_persons"
"407","Very Remote","New South Wales","63","2022","Deaths_no."
"408","Very Remote","New South Wales","np","2022","Infant mortality rate_rate"
"409","Very Remote","New South Wales","8.1999999999999993","2022","Standardised death rate_rate"
"410","Very Remote","New South Wales","70.8","2022","Median age at death_years"
"411","Very Remote","New South Wales","6864","2023","Estimated Resident Population_persons"
"412","Very Remote","New South Wales","73","2023","Deaths_no."
"413","Very Remote","New South Wales","np","2023","Infant mortality rate_rate"
"414","Very Remote","New South Wales","8.4","2023","Standardised death rate_rate"
